FIPS,county,cqr_census_2010_count,july1_2018_pop_est,jan1_2019_pop_est,num_chg_10_18,num_chg_10_19,pct_chg_10_18,pct_chg_10_19
297,Live Oak,11531,12058,12042,527,511,4.6,4.4
299,Llano,19301,21576,21863,2275,2562,11.8,13.3
301,Loving,82,94,103,12,21,14.6,25.6
303,Lubbock,278831,306837,307870,28006,29039,10.0,10.4
305,Lynn,5915,5977,5942,62,27,1.0,0.5
307,McCulloch,8283,8318,8311,35,28,0.4,0.3
309,McLennan,234906,254952,255816,20046,20910,8.5,8.9
311,McMullen,707,752,740,45,33,6.4,4.7
313,Madison,13664,14421,14468,757,804,5.5,5.9
315,Marion,10546,9957,9860,-589,-686,-5.6,-6.5
317,Martin,4799,5727,5875,928,1076,19.3,22.4
319,Mason,4012,4263,4340,251,328,6.3,8.2
321,Matagorda,36702,36550,36488,-152,-214,-0.4,-0.6
323,Maverick,54258,57425,57272,3167,3014,5.8,5.6
325,Medina,46006,52268,52191,6262,6185,13.6,13.4
327,Menard,2242,2141,2134,-101,-108,-4.5,-4.8
329,Midland,136872,171954,175630,35082,38758,25.6,28.3
331,Milam,24757,25208,25288,451,531,1.8,2.1
333,Mills,4936,4931,4940,-5,4,-0.1,0.1
335,Mitchell,9403,8263,8135,-1140,-1268,-12.1,-13.5
337,Montague,19719,19630,19631,-89,-88,-0.5,-0.4
339,Montgomery,455746,594453,610513,138707,154767,30.4,34.0
341,Moore,21904,21331,20615,-573,-1289,-2.6,-5.9
343,Morris,12934,12335,12258,-599,-676,-4.6,-5.2
345,Motley,1210,1230,1225,20,15,1.7,1.2
347,Nacogdoches,64524,65561,65483,1037,959,1.6,1.5
349,Navarro,47735,50175,50263,2440,2528,5.1,5.3
351,Newton,14445,13759,13692,-686,-753,-4.7,-5.2
353,Nolan,15216,14493,14551,-723,-665,-4.8,-4.4
355,Nueces,340223,361243,361387,21020,21164,6.2,6.2
357,Ochiltree,10223,10159,10012,-64,-211,-0.6,-2.1
359,Oldham,2052,2112,2100,60,48,2.9,2.3
361,Orange,81837,84862,84866,3025,3029,3.7,3.7
363,Palo Pinto,28111,28874,28865,763,754,2.7,2.7
365,Panola,23796,24554,24573,758,777,3.2,3.3
367,Parker,116927,136391,138007,19464,21080,16.6,18.0
369,Parmer,10269,9862,9872,-407,-397,-4.0,-3.9
371,Pecos,15507,15110,14870,-397,-637,-2.6,-4.1
